,SR,IQR,MA,IForest,KNN,RePAD,Prophet,Moment,Average
global,0.7837834946166105,0.5930201840479487,0.8108523019190854,0.7674479235117407,0.6270153066817278,0.7604510499684795,0.5952574280414404,0.8202919065957681,0.7197649494228502
contextual,0.7670941416767246,0.5933801470749879,0.8330842358539942,0.8264723939746585,0.633787539595199,0.8004621361456239,0.5372704454370475,0.739639429184601,0.7163988086178545
trend,0.5428943715052005,0.5168047294324373,0.4731195521411448,0.7166297558065984,0.8112641489865547,0.512482100044742,0.5003908160420891,0.7941143799696546,0.6084624817410527
seasonal,0.806406623761104,0.6031898535013963,0.8755910685908911,0.8514677826070787,0.711987853108722,0.8786884606396945,0.6262978022143324,0.7630460864229238,0.7645844413557679
cutoff,0.43071170033129375,0.5108019858227063,0.2124654860340702,0.3753057614501079,0.43829277398141575,0.36768838902214585,0.5041728762637006,0.4412335043002796,0.410084059650715
average,0.4548577850108454,0.5108019858227063,0.2891100818851373,0.38740665165890664,0.725504233972439,0.38541813771593797,0.5008162454669758,0.6343702118448952,0.48603566667223047
Average,0.6309580194836298,0.5546664809503637,0.5823704544040539,0.6541217115015151,0.6579753093876765,0.617531712256104,0.5440342689109309,0.6987825863863538,0.6175550679100784
