,SR,IQR,MA,IForest,KNN,RePAD,Prophet,Moment,Average
global,0.8842757239093534,0.9197428377297806,0.9185042849221245,0.8946635846643884,0.651264796831712,0.9142218029005801,0.8988792330018578,0.9553801067972442,0.8796165463446302
contextual,0.8956930130958635,1.3660726667595795,1.0277367728606568,1.0634746677101514,1.0411203253050312,0.9709465025021881,1.3131599601142643,0.8353839179880629,1.0641984782919747
trend,0.5372447385603151,0.4029171850309333,0.4598479796318716,0.7291283107471556,0.850872099895663,0.5075480168379171,0.3792222570567923,0.7998068923113015,0.5833234350089936
seasonal,0.9571090932762472,1.1669581012276542,1.0558463148285817,1.0470369993624014,1.2207355368313526,1.0141183918145988,1.18627908780144,0.9074837876817818,1.069445914103007
Average,0.8185806422104448,0.9639226976869868,0.8654838380608086,0.9335758906210241,0.9409981897159397,0.851708678513821,0.9443851344935885,0.8745136761945975,0.8991460934371514
