,SR,IQR,MA,IForest,KNN,RePAD,Prophet,Moment,Average
trend,0.576077643838596,0.5186418355101946,0.5305326894159419,0.7043282918783219,0.7521116926733775,0.5366722034658493,0.49336403827902053,0.886067734937831,0.6247245162498916
seasonal,0.8496464629676488,0.6180272762402107,0.8648277067238748,0.8322195677933096,0.7806254181806013,0.8600865273622619,0.6472661481465536,0.9092678049207367,0.7952458640418997
cutoff,0.3632120310279094,0.5045512415940671,0.22144130564742423,0.5044809989877672,0.41489992631533035,0.40327367896739974,0.5084123079282579,0.5818641267257775,0.43776695214924166
average,0.3658514245763762,0.49933383725385116,0.30535627150356165,0.5001698727771767,0.6811571050122882,0.38482850698339016,0.4992924861863011,0.34075722935383107,0.447093341705847
Average,0.5386968906026326,0.5351385476495809,0.48053949332270063,0.6352996828591438,0.6571985355453993,0.5462152291947252,0.5370837451350333,0.679489223984544,0.5762076685367199
