placeId,CompF1,AffF1,TD
4611864748268400448,0.29126213592233013,0.22222222222222218,1401
4612088555142300004,0.38888888888888884,0.4375,612
4612249398246946328,0.2727272727272727,0.3157894736842105,689
4612577671677689572,0.32000000000000006,0.3636363636363636,894
4613124139963382736,0.5490196078431373,0.5185185185185185,419
4613320429447084082,0.4285714285714285,0.44444444444444436,422
4614070236986914067,0.5373134328358209,0.5161290322580646,448
4614585987297941337,0.4736842105263158,0.45161290322580644,911
4617017560578976530,0.1568627450980392,0.14634146341463417,2956
4617159628722080630,0.2127659574468085,0.22727272727272727,1233
4617284432736673595,0.5128205128205129,0.5555555555555555,551
4617505612717757046,0.7346938775510203,0.75,222
4618181174669096910,0.5,0.4864864864864865,1013
4618326887843671643,0.5454545454545454,0.5454545454545454,346
4618450758643546965,0.5925925925925926,0.6666666666666667,377
4618811701739946596,0.6666666666666665,0.6666666666666665,130
4618851997145527336,0.23999999999999996,0.2608695652173913,850
4619107164514240020,0.8000000000000002,0.8000000000000002,26
4619473601102836221,0.6562499999999999,0.6666666666666665,44
4619882972180359955,0.5161290322580646,0.5333333333333333,417
4619948752817665977,0.6428571428571429,0.6399999999999999,225
4620117390714778322,0.33333333333333337,0.4444444444444445,518
4621920615327109068,0.5116279069767442,0.5116279069767442,3848
4622072574751166319,0.6130030959752323,0.5999999999999999,366
4622437239164062165,0.75,0.75,134
4622601761085306940,0.5438066465256798,0.5806451612903225,355
4623970853998737223,0.8333333333333333,0.8333333333333333,163
4624250602007546761,0.631578947368421,0.7058823529411764,48
4624260416881771099,0.5990783410138248,0.606060606060606,611
