date,view,label
2022-01-01,98,0
2022-01-02,88,0
2022-01-03,118,0
2022-01-04,134,0
2022-01-05,144,0
2022-01-06,162,0
2022-01-07,137,0
2022-01-08,101,0
2022-01-09,58,0
2022-01-10,56,0
2022-01-11,63,0
2022-01-12,71,0
2022-01-13,66,0
2022-01-14,79,0
2022-01-15,65,0
2022-01-16,50,0
2022-01-17,40,0
2022-01-18,59,0
2022-01-19,62,0
2022-01-20,48,0
2022-01-21,45,0
2022-01-22,49,0
2022-01-23,66,0
2022-01-24,67,0
2022-01-25,60,0
2022-01-26,69,0
2022-01-27,59,0
2022-01-28,59,0
2022-01-29,39,1
2022-01-30,33,1
2022-01-31,17,1
2022-02-01,42,1
2022-02-02,23,0
2022-02-03,28,1
2022-02-04,37,0
2022-02-05,41,0
2022-02-06,40,1
2022-02-07,70,0
2022-02-08,75,0
2022-02-09,84,0
2022-02-10,101,0
2022-02-11,102,0
2022-02-12,103,0
2022-02-13,82,0
2022-02-14,104,0
2022-02-15,124,0
2022-02-16,98,0
2022-02-17,100,0
2022-02-18,74,0
2022-02-19,77,0
2022-02-20,57,0
2022-02-21,130,0
2022-02-22,74,0
2022-02-23,92,0
2022-02-24,96,0
2022-02-25,101,0
2022-02-26,84,0
2022-02-27,89,0
2022-02-28,100,0
2022-03-01,122,0
2022-03-02,125,0
2022-03-03,109,0
2022-03-04,127,0
2022-03-05,117,0
2022-03-06,96,0
2022-03-07,111,0
2022-03-08,132,0
2022-03-09,124,0
2022-03-10,151,0
2022-03-11,169,0
2022-03-12,174,0
2022-03-13,128,0
2022-03-14,149,0
2022-03-15,168,0
2022-03-16,150,0
2022-03-17,185,0
2022-03-18,173,0
2022-03-19,164,0
2022-03-20,173,0
2022-03-21,230,0
2022-03-22,224,0
2022-03-23,190,0
2022-03-24,220,0
2022-03-25,226,0
2022-03-26,224,0
2022-03-27,167,0
2022-03-28,246,0
2022-03-29,252,0
2022-03-30,278,0
2022-03-31,242,0
2022-04-01,217,0
2022-04-02,231,0
2022-04-03,232,0
2022-04-04,290,0
2022-04-05,278,0
2022-04-06,322,0
2022-04-07,395,0
2022-04-08,306,0
2022-04-09,233,0
2022-04-10,178,0
2022-04-11,275,0
2022-04-12,325,0
2022-04-13,369,0
2022-04-14,358,0
2022-04-15,336,0
2022-04-16,175,0
2022-04-18,540,0
2022-04-19,704,1
2022-04-20,378,0
2022-04-21,220,0
2022-04-22,223,0
2022-04-23,231,0
2022-04-24,195,0
2022-04-25,240,0
2022-04-26,241,0
2022-04-27,302,0
2022-04-28,205,0
2022-04-29,200,0
2022-04-30,110,1
2022-05-01,69,1
2022-05-02,102,1
2022-05-03,222,0
2022-05-04,254,0
2022-05-05,251,0
2022-05-06,259,0
2022-05-07,337,0
2022-05-08,233,0
2022-05-09,267,0
2022-05-10,287,0
2022-05-11,303,0
2022-05-12,257,0
2022-05-13,306,0
2022-05-14,204,0
2022-05-15,152,0
2022-05-16,255,0
2022-05-17,244,0
2022-05-18,262,0
2022-05-19,261,0
2022-05-20,209,0
2022-05-21,234,0
2022-05-22,123,0
2022-05-23,183,0
2022-05-24,168,0
2022-05-25,231,0
2022-05-26,195,0
2022-05-27,173,0
2022-05-28,154,0
2022-05-29,157,0
2022-05-30,180,0
2022-05-31,214,0
2022-06-01,182,0
2022-06-02,188,0
2022-06-03,242,0
2022-06-04,238,0
2022-06-05,245,0
2022-06-06,185,0
2022-06-07,275,0
2022-06-08,221,0
