date,view,label
2022-01-01,102,0
2022-01-02,92,0
2022-01-03,91,0
2022-01-04,110,0
2022-01-05,85,0
2022-01-06,91,0
2022-01-07,99,0
2022-01-08,102,0
2022-01-09,75,0
2022-01-10,97,0
2022-01-11,100,0
2022-01-12,126,1
2022-01-13,89,0
2022-01-14,102,0
2022-01-15,116,0
2022-01-16,94,0
2022-01-17,83,0
2022-01-18,73,0
2022-01-19,66,0
2022-01-20,77,0
2022-01-21,83,0
2022-01-22,92,0
2022-01-23,70,0
2022-01-24,65,0
2022-01-25,88,0
2022-01-26,73,0
2022-01-27,76,0
2022-01-28,78,0
2022-01-29,79,0
2022-01-30,61,0
2022-01-31,56,0
2022-02-01,51,0
2022-02-02,51,0
2022-02-03,61,0
2022-02-04,44,0
2022-02-05,39,1
2022-02-06,63,0
2022-02-07,59,0
2022-02-08,65,0
2022-02-09,90,0
2022-02-10,70,0
2022-02-11,58,0
2022-02-12,79,0
2022-02-13,75,0
2022-02-14,85,0
2022-02-15,95,0
2022-02-16,89,0
2022-02-17,79,0
2022-02-18,67,0
2022-02-19,79,0
2022-02-20,92,0
2022-02-21,97,0
2022-02-22,83,0
2022-02-23,70,0
2022-02-24,96,0
2022-02-25,86,0
2022-02-26,77,0
2022-02-27,109,0
2022-02-28,95,0
2022-03-01,95,0
2022-03-02,110,0
2022-03-03,73,0
2022-03-04,86,0
2022-03-05,85,0
2022-03-06,78,0
2022-03-07,99,0
2022-03-08,110,0
2022-03-09,133,1
2022-03-10,113,0
2022-03-11,98,0
2022-03-12,93,0
2022-03-13,96,0
2022-03-14,80,0
2022-03-15,103,0
2022-03-16,84,0
2022-03-17,121,0
2022-03-18,82,0
2022-03-19,84,0
2022-03-20,96,0
2022-03-21,94,0
2022-03-22,102,0
2022-03-23,107,0
2022-03-24,91,0
2022-03-25,121,0
2022-03-26,94,0
2022-03-27,107,0
2022-03-28,94,0
2022-03-29,100,0
2022-03-30,94,0
2022-03-31,102,0
2022-04-01,104,0
2022-04-02,87,0
2022-04-03,123,0
2022-04-04,78,0
2022-04-05,124,0
2022-04-06,104,0
2022-04-07,112,0
2022-04-08,126,0
2022-04-09,93,0
2022-04-10,108,0
2022-04-11,109,0
2022-04-12,95,0
2022-04-13,101,0
2022-04-14,100,0
2022-04-15,88,0
2022-04-16,106,0
2022-04-17,115,0
2022-04-18,144,1
2022-04-19,111,0
2022-04-20,103,0
2022-04-21,145,0
2022-04-22,139,0
2022-04-23,131,0
2022-04-24,140,0
2022-04-25,96,0
2022-04-26,119,0
2022-04-27,118,0
2022-04-28,118,0
2022-04-29,82,0
2022-04-30,94,0
2022-05-01,80,0
2022-05-02,97,0
2022-05-03,85,0
2022-05-04,103,0
2022-05-05,106,0
2022-05-06,116,0
2022-05-07,89,0
2022-05-08,113,0
2022-05-09,97,0
2022-05-10,102,0
2022-05-11,87,0
2022-05-12,115,0
2022-05-13,96,0
2022-05-14,57,0
2022-05-15,28,0
2022-05-16,12,0
2022-05-22,1,1
2022-05-25,1,1
2022-05-29,14,0
2022-05-30,42,0
2022-05-31,60,0
2022-06-01,51,0
2022-06-02,70,0
2022-06-03,71,0
2022-06-04,61,0
2022-06-05,53,0
2022-06-06,72,0
2022-06-07,82,0
2022-06-08,69,0
2022-06-09,52,0
2022-06-10,56,0
2022-06-11,77,0
2022-06-12,47,0
2022-06-13,70,0
2022-06-14,66,0
2022-06-15,73,0
2022-06-16,79,0
2022-06-17,53,0
2022-06-18,37,0
2022-06-19,32,0
2022-06-20,47,0
2022-06-21,46,0
2022-06-22,54,0
2022-06-23,53,0
2022-06-24,71,0
2022-06-25,57,0
2022-06-26,54,0
2022-06-27,55,0
2022-06-28,73,0
2022-06-29,76,0
2022-06-30,58,0
2022-07-01,68,0
2022-07-02,57,0
2022-07-03,56,0
2022-07-04,48,0
2022-07-05,57,0
2022-07-06,58,0
2022-07-07,53,0
2022-07-08,59,0
2022-07-09,63,0
2022-07-10,41,0
2022-07-11,48,0
2022-07-12,64,0
2022-07-13,64,0
2022-07-14,68,0
2022-07-15,79,0
2022-07-16,59,0
2022-07-17,54,0
2022-07-18,61,0
2022-07-19,60,0
2022-07-20,57,0
2022-07-21,51,0
2022-07-22,61,0
2022-07-23,75,0
2022-07-24,60,0
2022-07-25,55,0
2022-07-26,63,0
2022-07-27,102,1
2022-07-28,66,0
2022-07-29,52,0
2022-07-30,74,0
2022-07-31,48,0
2022-08-01,28,1
2022-08-02,57,0
2022-08-03,59,0
2022-08-04,54,0
2022-08-05,53,0
2022-08-06,62,0
2022-08-07,75,0
2022-08-08,69,0
2022-08-09,54,0
2022-08-10,79,0
2022-08-11,59,0
2022-08-12,66,0
2022-08-13,54,0
2022-08-14,49,0
2022-08-15,55,0
2022-08-16,57,0
2022-08-17,52,0
2022-08-18,63,0
2022-08-19,56,0
2022-08-20,44,0
2022-08-21,44,0
2022-08-22,54,0
2022-08-23,67,0
2022-08-24,51,0
2022-08-25,54,0
2022-08-26,54,0
2022-08-27,65,0
2022-08-28,54,0
2022-08-29,54,0
2022-08-30,54,0
2022-08-31,62,0
2022-09-01,47,0
2022-09-02,53,0
2022-09-03,46,0
2022-09-04,38,0
