date,view,label
2022-01-01,54,0
2022-01-02,74,0
2022-01-03,52,0
2022-01-04,51,0
2022-01-05,78,0
2022-01-06,71,0
2022-01-07,94,0
2022-01-08,59,0
2022-01-09,35,0
2022-01-10,83,0
2022-01-11,57,0
2022-01-12,66,0
2022-01-13,54,0
2022-01-14,92,0
2022-01-15,67,0
2022-01-16,52,0
2022-01-17,42,0
2022-01-18,35,0
2022-01-19,44,0
2022-01-20,51,0
2022-01-21,34,0
2022-01-22,27,0
2022-01-23,78,0
2022-01-24,59,0
2022-01-25,51,0
2022-01-26,47,0
2022-01-27,37,0
2022-01-28,66,0
2022-01-29,31,0
2022-01-30,28,0
2022-01-31,11,1
2022-02-01,14,1
2022-02-02,21,1
2022-02-03,9,0
2022-02-04,8,1
2022-02-05,10,1
2022-02-06,14,1
2022-02-07,37,0
2022-02-08,48,0
2022-02-09,64,0
2022-02-10,64,0
2022-02-11,60,0
2022-02-12,40,0
2022-02-13,42,0
2022-02-14,53,0
2022-02-15,46,0
2022-02-16,50,0
2022-02-17,69,0
2022-02-18,54,0
2022-02-19,20,1
2022-02-20,20,0
2022-02-21,38,0
2022-02-22,30,1
2022-02-23,43,0
2022-02-24,49,0
2022-02-25,44,0
2022-02-26,36,0
2022-02-27,49,0
2022-02-28,47,0
2022-03-01,42,0
2022-03-02,49,0
2022-03-03,25,1
2022-03-04,31,1
2022-03-05,54,0
2022-03-06,28,1
2022-03-07,34,1
2022-03-08,51,0
2022-03-09,36,0
2022-03-10,42,0
2022-03-11,65,0
2022-03-12,86,0
2022-03-13,69,0
2022-03-14,66,0
2022-03-15,54,0
2022-03-16,37,0
2022-03-17,51,0
2022-03-18,63,0
2022-03-19,72,0
2022-03-20,61,0
2022-03-21,59,0
2022-03-22,76,0
2022-03-23,94,0
2022-03-24,80,0
2022-03-25,69,0
2022-03-26,82,0
2022-03-27,91,0
2022-03-28,82,0
2022-03-29,64,0
2022-03-30,98,0
2022-03-31,115,0
2022-04-01,89,0
2022-04-02,142,0
2022-04-03,103,0
2022-04-04,111,0
2022-04-05,104,0
2022-04-06,139,0
2022-04-07,124,0
2022-04-08,158,0
2022-04-09,142,0
2022-04-10,95,0
2022-04-11,96,0
2022-04-12,123,0
2022-04-13,161,0
2022-04-14,127,0
2022-04-15,152,0
2022-04-16,120,0
2022-04-17,82,0
2022-04-18,91,0
2022-04-19,114,0
2022-04-20,142,0
2022-04-21,130,0
2022-04-22,180,0
2022-04-23,158,0
2022-04-24,134,0
